Copy_number,Ct,Target,Condition,Cell_line,Additional_info,Factor,Copy_number_modified,Control_mean,Value_normalisedalised
333.639607377671,25.14157,bIFIT1,bIFNa 5-24,MDBK,,1,333.639607377671,76.1119611469634,4.38353712543882
330.521863981835,25.15428,bIFIT1,bIFNa 5-24,MDBK,,1,330.521863981835,76.1119611469634,4.34257453100749
303.17619354293,25.27119,bIFIT1,bIFNa 5-24,MDBK,,1,303.17619354293,76.1119611469634,3.98329236264891
9.92270097792044,29.9004,bIFIT1,bRSV dSH 1-24,MDBK,,1.05916795010387,9.36839240362904,76.1119611469634,0.123086992667812
10.996112826468,29.761345,bIFIT1,bRSV dSH 1-24,MDBK,,1.05916795010387,10.3818405998686,76.1119611469634,0.136402221719428
10.2811099711051,29.852364,bIFIT1,bRSV dSH 1-24,MDBK,,1.05916795010387,9.70677971335603,76.1119611469634,0.127532907667605
802.470892315852,23.953453,bIFIT1,hRSV 1-24,MDBK,,0.0895990320110143,8956.24511007223,76.1119611469634,117.671979214657
978.897474126637,23.684416,bIFIT1,hRSV 1-24,MDBK,,0.0895990320110143,10925.3130547917,76.1119611469634,143.542655978818
832.106892709567,23.904358,bIFIT1,hRSV 1-24,MDBK,,0.0895990320110143,9287.0076164135,76.1119611469634,122.017715434784
94.1951599687356,26.853676,bIFIT1,Mock,MDBK,,1.29352384743734,72.8205824387004,76.1119611469634,0.956756091175896
87.3524775149293,26.955774,bIFIT1,Mock,MDBK,,1.29352384743734,67.5306278179467,76.1119611469634,0.887253813990588
113.810272972799,26.597591,bIFIT1,Mock,MDBK,,1.29352384743734,87.9846731842431,76.1119611469634,1.15599009483352
