Copy_number,Ct,Target,Condition,Cell_line,Additional_info
,26.903595,bIFIT3,bIFNa 5-24,BT,
,27.029861,bIFIT3,bIFNa 5-24,BT,
,27.03295,bIFIT3,bIFNa 5-24,BT,
,27.887094,bIFIT3,bRSV dSH 1-24,BT,
,27.21904,bIFIT3,bRSV dSH 1-24,BT,
,28.288778,bIFIT3,bRSV dSH 1-24,BT,
,27.238346,bIFIT3,hRSV 1-24,BT,
,27.36261,bIFIT3,hRSV 1-24,BT,
,27.396149,bIFIT3,hRSV 1-24,BT,
,26.776756,bIFIT3,Mock,BT,
,27.195026,bIFIT3,Mock,BT,
,27.04132,bIFIT3,Mock,BT,
,27.10073,bIFIT3,bIFNa 5-24,MDBK,
,25.764793,bIFIT3,bIFNa 5-24,MDBK,
,27.147036,bIFIT3,bIFNa 5-24,MDBK,
,26.69892,bIFIT3,bRSV dSH 1-24,MDBK,
,27.212446,bIFIT3,bRSV dSH 1-24,MDBK,
,26.809883,bIFIT3,bRSV dSH 1-24,MDBK,
,27.249474,bIFIT3,hRSV 1-24,MDBK,
,26.324598,bIFIT3,hRSV 1-24,MDBK,
,27.018772,bIFIT3,hRSV 1-24,MDBK,
,27.759007,bIFIT3,Mock,MDBK,
,27.482355,bIFIT3,Mock,MDBK,
,26.255003,bIFIT3,Mock,MDBK,
,26.006716,bIFIT5,bIFNa 5-24,BT,
,26.098719,bIFIT5,bIFNa 5-24,BT,
,26.682636,bIFIT5,bIFNa 5-24,BT,
,25.70082,bIFIT5,bRSV dSH 1-24,BT,
,25.3743,bIFIT5,bRSV dSH 1-24,BT,
,25.975597,bIFIT5,bRSV dSH 1-24,BT,
,26.716843,bIFIT5,hRSV 1-24,BT,
,26.657719,bIFIT5,hRSV 1-24,BT,
,26.812115,bIFIT5,hRSV 1-24,BT,
,26.46016,bIFIT5,Mock,BT,
,26.956707,bIFIT5,Mock,BT,
,26.282316,bIFIT5,Mock,BT,
,25.219227,bIFIT5,bIFNa 5-24,MDBK,
,24.92171,bIFIT5,bIFNa 5-24,MDBK,
,24.498156,bIFIT5,bIFNa 5-24,MDBK,
,25.69106,bIFIT5,bRSV dSH 1-24,MDBK,
,26.501932,bIFIT5,bRSV dSH 1-24,MDBK,
,26.031378,bIFIT5,bRSV dSH 1-24,MDBK,
,25.717644,bIFIT5,hRSV 1-24,MDBK,
,25.129625,bIFIT5,hRSV 1-24,MDBK,
,24.967009,bIFIT5,hRSV 1-24,MDBK,
,26.794893,bIFIT5,Mock,MDBK,
,26.127937,bIFIT5,Mock,MDBK,
,25.692593,bIFIT5,Mock,MDBK,
,26.058554,bIFIT1,bIFNa 5-24,BT,
,25.968456,bIFIT1,bIFNa 5-24,BT,
,26.221708,bIFIT1,bIFNa 5-24,BT,
,26.625038,bIFIT1,bRSV dSH 1-24,BT,
,26.473486,bIFIT1,bRSV dSH 1-24,BT,
,26.441551,bIFIT1,bRSV dSH 1-24,BT,
,26.205765,bIFIT1,hRSV 1-24,BT,
,26.150501,bIFIT1,hRSV 1-24,BT,
,26.078012,bIFIT1,hRSV 1-24,BT,
,25.971178,bIFIT1,Mock,BT,
,26.275616,bIFIT1,Mock,BT,
,25.983109,bIFIT1,Mock,BT,
,26.14157,bIFIT1,bIFNa 5-24,MDBK,
,25.15428,bIFIT1,bIFNa 5-24,MDBK,
,26.27119,bIFIT1,bIFNa 5-24,MDBK,
,25.9004,bIFIT1,bRSV dSH 1-24,MDBK,
,26.761345,bIFIT1,bRSV dSH 1-24,MDBK,
,25.852364,bIFIT1,bRSV dSH 1-24,MDBK,
,25.953453,bIFIT1,hRSV 1-24,MDBK,
,25.684416,bIFIT1,hRSV 1-24,MDBK,
,25.904358,bIFIT1,hRSV 1-24,MDBK,
,26.853676,bIFIT1,Mock,MDBK,
,26.955774,bIFIT1,Mock,MDBK,
,25.597591,bIFIT1,Mock,MDBK,
,26.65674,bIFIT2,bIFNa 5-24,BT,
,26.61854,bIFIT2,bIFNa 5-24,BT,
,26.294355,bIFIT2,bIFNa 5-24,BT,
,27.456203,bIFIT2,bRSV dSH 1-24,BT,
,27.000076,bIFIT2,bRSV dSH 1-24,BT,
,27.386898,bIFIT2,bRSV dSH 1-24,BT,
,26.973608,bIFIT2,hRSV 1-24,BT,
,26.930717,bIFIT2,hRSV 1-24,BT,
,26.877625,bIFIT2,hRSV 1-24,BT,
,26.425615,bIFIT2,Mock,BT,
,26.975004,bIFIT2,Mock,BT,
,26.563917,bIFIT2,Mock,BT,
,26.720762,bIFIT2,bIFNa 5-24,MDBK,
,25.345911,bIFIT2,bIFNa 5-24,MDBK,
,26.560776,bIFIT2,bIFNa 5-24,MDBK,
,26.229439,bIFIT2,bRSV dSH 1-24,MDBK,
,27.003489,bIFIT2,bRSV dSH 1-24,MDBK,
,26.599146,bIFIT2,bRSV dSH 1-24,MDBK,
,26.970707,bIFIT2,hRSV 1-24,MDBK,
,26.292122,bIFIT2,hRSV 1-24,MDBK,
,26.690641,bIFIT2,hRSV 1-24,MDBK,
,26.74553,bIFIT2,Mock,MDBK,
,27.645323,bIFIT2,Mock,MDBK,
,26.171219,bIFIT2,Mock,MDBK,
