Ct,Copy_number,Primer_set,Target,Experiment,Additional_info
7.6645517,100000000,PS11,bIFIT1,,
11.265419,10000000,PS11,bIFIT1,,
14.448029,1000000,PS11,bIFIT1,,
17.917984,100000,PS11,bIFIT1,,
21.056202,10000,PS11,bIFIT1,,
22.973955,1000,PS11,bIFIT1,,
26.622187,100,PS11,bIFIT1,,
8.956446,100000000,PS21,bIFIT2,,
12.605616,10000000,PS21,bIFIT2,,
15.648785,1000000,PS21,bIFIT2,,
18.738642,100000,PS21,bIFIT2,,
22.120804,10000,PS21,bIFIT2,,
25.262447,1000,PS21,bIFIT2,,
27.301558,100,PS21,bIFIT2,,
9.673801,100000000,PS31,bIFIT3,,
13.6319685,10000000,PS31,bIFIT3,,
16.89594,1000000,PS31,bIFIT3,,
19.66594,100000,PS31,bIFIT3,,
22.773481,10000,PS31,bIFIT3,,
25.993362,1000,PS31,bIFIT3,,
28.865171,100,PS31,bIFIT3,,
8.86045,100000000,PS51,bIFIT5,,
13.191401,10000000,PS51,bIFIT5,,
16.001522,1000000,PS51,bIFIT5,,
18.622387,100000,PS51,bIFIT5,,
21.421156,10000,PS51,bIFIT5,,
24.183119,1000,PS51,bIFIT5,,
27.318684,100,PS51,bIFIT5,,
